Date,Adj Close
1/3/17,220.063202
1/4/17,221.372406
1/5/17,221.196548
1/6/17,221.987915
1/9/17,221.255173
1/10/17,221.255173
1/11/17,221.880432
1/12/17,221.323547
1/13/17,221.831589
1/17/17,221.049988
1/18/17,221.538483
1/19/17,220.717804
1/20/17,221.528717
1/23/17,220.952255
1/24/17,222.368958
1/25/17,224.293686
1/26/17,224.059204
1/27/17,223.707458
1/30/17,222.320099
1/31/17,222.300568
2/1/17,222.388489
2/2/17,222.535049
2/3/17,224.068954
2/6/17,223.668365
2/7/17,223.678146
2/8/17,223.971252
2/9/17,225.300003
2/10/17,226.189072
2/13/17,227.42012
2/14/17,228.328751
2/15/17,229.520721
2/16/17,229.325317
2/17/17,229.686798
2/21/17,231.054626
2/22/17,230.849457
2/23/17,231.005798
2/24/17,231.298874
2/27/17,231.66037
2/28/17,231.03508
3/1/17,234.268982
3/2/17,232.793716
3/3/17,232.940277
3/6/17,232.246582
3/7/17,231.552902
3/8/17,231.123016
3/9/17,231.416107
3/10/17,232.227036
3/13/17,232.344284
3/14/17,231.455185
3/15/17,233.458084
3/16/17,232.998871
3/17/17,232.589691
3/20/17,232.334564
3/21/17,229.351517
3/22/17,229.89122
3/23/17,229.645889
3/24/17,229.47908
3/27/17,229.243576
3/28/17,230.911743
3/29/17,231.127609
3/30/17,231.863556
3/31/17,231.323868
4/3/17,230.921555
4/4/17,231.068726
4/5/17,230.381851
4/6/17,231.029495
4/7/17,230.793991
4/10/17,230.931351
4/11/17,230.656616
4/12/17,229.645889
4/13/17,228.154373
4/17/17,230.175781
4/18/17,229.488892
4/19/17,229.06694
4/20/17,230.931351
4/21/17,230.195404
4/24/17,232.727081
4/25/17,234.081223
4/26/17,233.934036
4/27/17,234.130295
4/28/17,233.620026
5/1/17,234.208786
5/2/17,234.297104
5/3/17,234.012527
5/4/17,234.287262
5/5/17,235.209671
5/8/17,235.170425
5/9/17,234.954544
5/10/17,235.376495
5/11/17,234.895691
5/12/17,234.503159
5/15/17,235.798447
5/16/17,235.58255
5/17/17,231.402374
5/18/17,232.334564
5/19/17,233.845703
5/22/17,235.033051
5/23/17,235.553131
5/24/17,236.102631
5/25/17,237.231094
5/26/17,237.182053
5/30/17,236.975983
5/31/17,236.917084
6/1/17,238.801132
6/2/17,239.595947
6/5/17,239.419327
6/6/17,238.653946
6/7/17,239.09552
6/8/17,239.213242
6/9/17,238.850204
6/12/17,238.801132
6/13/17,239.968826
6/14/17,239.664642
6/15/17,239.20343
6/16/17,239.255707
6/19/17,241.247528
6/20/17,239.620544
6/21/17,239.561371
6/22/17,239.452911
6/23/17,239.738861
6/26/17,239.896622
6/27/17,237.963989
6/28/17,240.093857
6/29/17,237.983704
6/30/17,238.427414
7/3/17,238.831711
7/5/17,239.383896
7/6/17,237.194855
7/7/17,238.733093
7/10/17,238.989456
7/11/17,238.811981
7/12/17,240.606583
7/13/17,241.01088
7/14/17,242.134964
7/17/17,242.105377
7/18/17,242.233566
7/19/17,243.545029
7/20/17,243.653503
7/21/17,243.436569
7/24/17,243.377411
7/25/17,243.969025
7/26/17,243.978897
7/27/17,243.752106
7/28/17,243.466156
7/31/17,243.32811
8/1/17,243.870422
8/2/17,243.988739
8/3/17,243.515457
8/4/17,243.959167
8/7/17,244.412735
8/8/17,243.811264
8/9/17,243.801407
8/10/17,240.360077
8/11/17,240.715057
8/14/17,243.101303
8/15/17,243.071716
8/16/17,243.495728
8/17/17,239.699417
8/18/17,239.324738
8/21/17,239.51207
8/22/17,242.016663
8/23/17,241.148911
